"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000104117","Gm20743","1.1743863016","0.369271250522535","nan"
"ENSMUSG00000034570","Inpp5j","0.8725560441","0.36935616536504","0.8903625210615"
"ENSMUSG00000043241","Upf2","-0.0694638002","0.36937842268759896","0.8903625210615"
"ENSMUSG00000052031","Tagap1","0.0843244227","0.3694325773375279","0.8903625210615"
"ENSMUSG00000001687","Ubl3","-0.0954548567","0.369477548114582","0.8903625210615"
"ENSMUSG00000104063","Pcdhgb7","0.4285710609","0.36950144676444896","0.8903625210615"
"ENSMUSG00000120368","nan","-0.7412842273","0.369510036984424","nan"
"ENSMUSG00000057234","Mettl15","0.2141063422","0.369547371062534","0.8903625210615"
"ENSMUSG00000053219","Raet1e","-0.3766982531","0.369571027810618","0.8903625210615"
"ENSMUSG00000041936","Agrn","-0.1084623595","0.36958186200233295","0.8903625210615"
"ENSMUSG00000040033","Stat2","-0.1248068952","0.369583280740805","0.8903625210615"
"ENSMUSG00000045994","B3gat1","1.0760312903","0.36959702470997297","0.8903625210615"
"ENSMUSG00000115801","nan","-0.2619885604","0.3696302557542921","0.8903625210615"
"ENSMUSG00000073842","Mup7","1.204410357","0.369764030057708","0.8905722527649829"
"ENSMUSG00000090319","Gm4462","0.5114800703","0.369795864753082","nan"
"ENSMUSG00000100680","1810044D09Rik","-0.2404842182","0.3699745249395561","0.8906903092695201"
"ENSMUSG00000073856","Iqck","0.4885801307","0.3700324528280179","0.8906903092695201"
"ENSMUSG00000042985","Upk3b","0.6229921432","0.370040790549679","0.8906903092695201"
"ENSMUSG00000033488","Cryzl2","0.1354476187","0.37008666628736897","0.8906903092695201"
"ENSMUSG00000011114","Tbrg1","-0.132797928","0.37017469451564705","0.8906903092695201"
"ENSMUSG00000032403","2300009A05Rik","-0.1429374669","0.37021960734298","0.8906903092695201"
"ENSMUSG00000056367","Actr3b","0.5730237634","0.370225923713766","0.8906903092695201"
"ENSMUSG00000041771","Slc24a4","1.0765939514","0.3702334841397221","0.8906903092695201"
"ENSMUSG00000058402","Zfp420","-0.1680127619","0.370328565014","0.8906903092695201"
"ENSMUSG00000021464","Ror2","-0.9375477002","0.370357865445099","0.8906903092695201"
"ENSMUSG00000048478","Spata33","0.381047898","0.370423803619834","0.8906903092695201"
"ENSMUSG00000009487","Otog","0.9630651392","0.37046199922895395","0.8906903092695201"
"ENSMUSG00000054662","Ano9","-1.0279340129","0.3705576880055769","0.8906903092695201"
"ENSMUSG00000026659","Dusp12","0.1685898397","0.3705670154863471","0.8906903092695201"
"ENSMUSG00000038624","Nepn","1.1484374396","0.37057489715545294","0.8906903092695201"
"ENSMUSG00000097445","nan","0.8507533726","0.3705963523687679","nan"
"ENSMUSG00000106352","5033403H07Rik","-0.2320900146","0.370639235352325","0.8906903092695201"
"ENSMUSG00000038400","Pmepa1","0.2385773338","0.37066074900303103","0.8906903092695201"
"ENSMUSG00000000374","Trappc10","-0.0742834536","0.370667046591942","0.8906903092695201"
"ENSMUSG00000104362","nan","0.4908890163","0.370700560853939","0.8906903092695201"
"ENSMUSG00000059395","Nkapl","0.5093646512","0.37070773887245","nan"
"ENSMUSG00000036057","Ptpn23","-0.1198593704","0.37079875569176","0.8908139943971871"
"ENSMUSG00000025728","Pigq","0.1133754361","0.370877152939402","0.8908900922459699"
"ENSMUSG00000041147","Brca2","0.2719681615","0.371077574245546","0.891259249995475"
"ENSMUSG00000031232","Magt1","0.0893013663","0.3711873921656679","0.891324654719582"
"ENSMUSG00000021266","Wars","0.0997156471","0.3711982946889129","0.891324654719582"
"ENSMUSG00000038605","Samd10","0.2307657232","0.371310797578794","0.89137372933013"
"ENSMUSG00000022477","Aco2","0.2018942911","0.37140160743224704","0.89137372933013"
"ENSMUSG00000032060","Cryab","0.3154721447","0.371423341349816","0.89137372933013"
"ENSMUSG00000000628","Hk2","-0.3729093921","0.37146395604794","0.89137372933013"
"ENSMUSG00000084786","Ubl5","-0.0723890726","0.371484839235566","0.89137372933013"
"ENSMUSG00000039220","Ppp1r10","-0.1555179896","0.371554520141837","0.89137372933013"
"ENSMUSG00000096111","nan","1.0254456675","0.371628343820982","nan"
"ENSMUSG00000107928","nan","-0.511285894","0.3716419917046721","0.89137372933013"
"ENSMUSG00000037685","Atp8a1","0.1470211626","0.371685224902228","0.89137372933013"
"ENSMUSG00000028923","Necap2","0.1075318156","0.371726558072938","0.89137372933013"
