"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000045349","Sh2d5","-0.1020700349","0.8429274155617019","1.0"
"ENSMUSG00000029594","Rbm19","-0.0328113438","0.84299700924109","1.0"
"ENSMUSG00000036502","Tmem255a","-0.1230243404","0.843021028306082","1.0"
"ENSMUSG00000094066","Fam205a2","0.4657797007","0.8430340151591029","1.0"
"ENSMUSG00000028453","Fancg","-0.035694319","0.843047988260882","1.0"
"ENSMUSG00000050930","Map10","0.067826092","0.8430516550783209","1.0"
"ENSMUSG00000046958","nan","-0.4152345718","0.843064225350944","nan"
"ENSMUSG00000032017","Grik4","0.1663467155","0.8430885165313751","1.0"
"ENSMUSG00000100147","1700047M11Rik","0.0659091644","0.8430944247969019","1.0"
"ENSMUSG00000113193","nan","0.5753665456","0.843137854082424","nan"
"ENSMUSG00000086504","Kif16bos","-0.4152728503","0.843138407203857","nan"
"ENSMUSG00000027536","Chmp4c","-0.0779615524","0.8431758167411422","1.0"
"ENSMUSG00000071068","Treml2","0.1096734385","0.8432029677462008","1.0"
"ENSMUSG00000025630","Hprt","-0.0153240257","0.8432123924442909","1.0"
"ENSMUSG00000090582","nan","-0.0989847633","0.8432919420385171","1.0"
"ENSMUSG00000120134","nan","-0.4152405205","0.843306775158903","nan"
"ENSMUSG00000090626","Tex9","-0.0680942846","0.843356214660548","1.0"
"ENSMUSG00000042472","Zfp410","-0.0194742567","0.8433569241279909","1.0"
"ENSMUSG00000103377","nan","-0.4152389614","0.843404024143467","nan"
"ENSMUSG00000024286","Ccny","-0.0164517393","0.8434107118192551","1.0"
"ENSMUSG00000044167","Foxo1","-0.0423666654","0.8434398858575181","1.0"
"ENSMUSG00000118346","Tmem179b","-0.0305278561","0.8434482115849559","1.0"
"ENSMUSG00000102095","nan","-0.0420442369","0.84345467582369","1.0"
"ENSMUSG00000020990","Cdkl1","0.1445840557","0.8434892705594499","1.0"
"ENSMUSG00000036596","Cpz","0.1319262432","0.843514285294463","1.0"
"ENSMUSG00000024451","Arap3","-0.0433925754","0.8435863622655619","1.0"
"ENSMUSG00000038387","Rras","0.0296146303","0.8435987011608359","1.0"
"ENSMUSG00000087201","nan","-1.0455372811","0.843607783478688","nan"
"ENSMUSG00000075470","Alg10b","-0.0149980399","0.843624665451562","1.0"
"ENSMUSG00000107460","nan","0.6271478919","0.8437413997469381","nan"
"ENSMUSG00000105370","nan","-0.3644212092","0.843748386613746","nan"
"ENSMUSG00000024669","Cd5","0.1266718006","0.8438561854590949","1.0"
"ENSMUSG00000025194","Abcc2|Gm10768","-0.1181570675","0.8438805674039179","1.0"
"ENSMUSG00000056900","Usp13","-0.189474927","0.843925019462132","1.0"
"ENSMUSG00000115624","nan","-0.0601861261","0.844020450036678","1.0"
"ENSMUSG00000106836","nan","-1.5927671868","0.844035065969948","nan"
"ENSMUSG00000100679","nan","0.2692369173","0.84404651136234","1.0"
"ENSMUSG00000118384","9030625G05Rik","-0.5850041677","0.8441351864341908","nan"
"ENSMUSG00002076008","nan","0.100660896","0.844271233308235","1.0"
"ENSMUSG00000019767","Ccdc170","-0.2399932782","0.8442852401736439","1.0"
"ENSMUSG00000042700","Sipa1l1","-0.0332645858","0.8442855589279158","1.0"
"ENSMUSG00000083478","Gm15375","1.1656796537","0.844497816631413","nan"
"ENSMUSG00000001123","Lgals9","0.0340730741","0.8445121883421389","1.0"
"ENSMUSG00000059305","Vpreb1","-0.1424465281","0.8445321003799191","1.0"
"ENSMUSG00000062470","Fbxl12os","0.1342870505","0.844563249983231","1.0"
"ENSMUSG00000103143","nan","0.4743616591","0.8445834176932","nan"
"ENSMUSG00000031671","Setd6","0.023285199","0.8445937601581991","1.0"
"ENSMUSG00000056598","Drc3","0.0889341895","0.8446067208527109","1.0"
"ENSMUSG00000021636","Marveld2","-0.0492203717","0.844690636031556","1.0"
"ENSMUSG00000068674","nan","0.5464949665","0.844746861432452","nan"
"ENSMUSG00000081798","nan","-0.4152627301","0.8447634827240479","nan"
"ENSMUSG00000086909","Gm4926","1.0274361849","0.8447842452720741","nan"
"ENSMUSG00000046556","Zfp319","-0.0195745555","0.844809598252966","1.0"
"ENSMUSG00000094145","Vmn2r20","2.2674154122","0.844875820986901","nan"
"ENSMUSG00000060073","Psma3","0.0274512278","0.8449012109697119","1.0"
"ENSMUSG00000007655","Cav1","-0.0662276515","0.8449308173983691","1.0"
"ENSMUSG00000034771","Tle2","0.0619280514","0.845061475396741","1.0"
"ENSMUSG00000041084","Ostc","0.038221637","0.8450930146716871","1.0"
"ENSMUSG00000050315","Synpo2","-0.0858816719","0.8451382224642259","1.0"
"ENSMUSG00000016150","Tenm1","-0.2675741072","0.845173205771534","1.0"
"ENSMUSG00000102976","Zc3h11a","-0.0516512381","0.8452082342342758","1.0"
"ENSMUSG00000024941","Scyl1","-0.0185534917","0.845292840734675","1.0"
"ENSMUSG00000085523","nan","-0.4152556868","0.845340145433213","nan"
"ENSMUSG00000042474","Fcmr","0.1259344659","0.8454311649109391","1.0"
"ENSMUSG00000018160","Med1","0.0204449992","0.8455363877913101","1.0"
"ENSMUSG00000058952","Cfi","-0.099156123","0.845664746965119","1.0"
"ENSMUSG00000085683","Tmem238l","-0.4153451881","0.845778386869732","nan"
"ENSMUSG00000120231","nan","0.0555329698","0.845801040447692","1.0"
"ENSMUSG00000027488","Snta1","-0.0385409822","0.845852864932304","1.0"
"ENSMUSG00000010554","Mettl16","-0.0220892933","0.84588626759457","1.0"
"ENSMUSG00000099041","nan","0.0717966967","0.8459703956485501","1.0"
"ENSMUSG00000119998","nan","0.5465213275","0.8460313403491769","nan"
"ENSMUSG00000106735","nan","0.5465563704","0.8460698529656421","nan"
"ENSMUSG00000060096","nan","-0.4152508828","0.846092544372217","1.0"
"ENSMUSG00000112550","nan","0.0653469616","0.8461316412975591","1.0"
"ENSMUSG00000027387","Zc3h8","0.0340683382","0.8461644808755079","1.0"
"ENSMUSG00000112630","Gm36908","0.1189546999","0.846237501305107","nan"
"ENSMUSG00000062017","Abca14","-0.2804482158","0.846293331031949","nan"
"ENSMUSG00000084113","nan","0.5465018402","0.84629917371722","nan"
"ENSMUSG00000032777","Gtf3c1","-0.0169497026","0.846377374918015","1.0"
"ENSMUSG00000026787","Gad2","-0.3440602875","0.846403309407245","1.0"
"ENSMUSG00000000884","Gnb1l","-0.0661848228","0.8464120080264","1.0"
"ENSMUSG00000117505","nan","-0.0816526575","0.846464417102308","1.0"
"ENSMUSG00000072387","nan","2.2438511584","0.8464715202614158","nan"
"ENSMUSG00000105204","nan","2.2438414361","0.8464721800629441","nan"
"ENSMUSG00000103735","nan","-0.0512409561","0.8464862512036421","1.0"
"ENSMUSG00000033411","Ctdspl2","0.0316717426","0.846536881898527","1.0"
"ENSMUSG00000038663","Fsd2","-0.1924449025","0.84655187337612","1.0"
"ENSMUSG00000082726","nan","0.5465384568","0.8467569740671299","nan"
"ENSMUSG00000051736","Fam229b","-0.1249583818","0.84676961296702","1.0"
"ENSMUSG00000029189","Sel1l3","0.0601966779","0.8469573564444141","1.0"
"ENSMUSG00000029814","Igf2bp3","-0.2422408008","0.8469616406214541","1.0"
"ENSMUSG00000092572","Serpinb10","-0.2183084089","0.847013411708591","1.0"
"ENSMUSG00000113471","nan","0.546537298","0.847055814071655","nan"
"ENSMUSG00000021645","Smn1","-0.0261469127","0.8472160633734809","1.0"
"ENSMUSG00000105148","nan","0.5465536244","0.8472207271796851","nan"
"ENSMUSG00000032666","1700025G04Rik","-0.0466780661","0.847249759530111","1.0"
"ENSMUSG00000028992","Nmnat1","0.02378704","0.8472620331475659","1.0"
"ENSMUSG00000014503","Pkd2l2","-0.1008033117","0.847290500929088","1.0"
"ENSMUSG00000038069","Cdkn2aip","-0.0171823601","0.847343845409918","1.0"
"ENSMUSG00000097310","A930038B10Rik","-0.1250818111","0.8473732312097819","1.0"
"ENSMUSG00000116991","Gm6032","-0.4152486044","0.847414664858999","nan"
"ENSMUSG00000102463","nan","-0.4152557228","0.8474376023688841","nan"
"ENSMUSG00000110444","Gm10033","0.0475691664","0.8475023936256372","1.0"
"ENSMUSG00000031320","Rps4x","-0.0234526233","0.847508683779699","1.0"
"ENSMUSG00000086782","E130102H24Rik","-0.049968611","0.84753257271633","1.0"
"ENSMUSG00000114737","nan","0.546546822","0.8476160613950581","nan"
"ENSMUSG00000070283","Ndufaf3","0.0278466882","0.847619498583445","1.0"
"ENSMUSG00000094627","nan","-0.0814476283","0.8476201722360301","1.0"
"ENSMUSG00000073418","C4b","0.0631427607","0.847648025796853","1.0"
"ENSMUSG00000112819","nan","0.5298954134","0.8476537746115859","nan"
"ENSMUSG00000106421","Gm9645","-0.4152562316","0.847656384167339","nan"
"ENSMUSG00000100457","D830032E09Rik","2.1880919364","0.847964802675398","nan"
"ENSMUSG00000051879","Krt71","0.5465527528","0.848063976170798","nan"
"ENSMUSG00000070896","Rpl23a-ps1","1.0274034189","0.8481179931991891","nan"
"ENSMUSG00000045411","2410002F23Rik","-0.0316143458","0.848119065948177","1.0"
"ENSMUSG00000117552","Gm5686","-0.4152495234","0.8482153420122149","nan"
"ENSMUSG00000097814","Panct2","0.2035027036","0.84821557659831","1.0"
"ENSMUSG00000112847","nan","-0.1584642838","0.8483089318395741","1.0"
"ENSMUSG00000028249","Sdcbp","0.0163561248","0.8483878775462671","1.0"
"ENSMUSG00000038039","Gcc2","0.0235644608","0.8483901524654859","1.0"
"ENSMUSG00000022636","Alcam","0.0286518784","0.8485015638992329","1.0"
